Fecha,Punto,Codigo,Producto,Factura,Precio,Otros Impuestos,IVA %,IVA $,Total Unitario,Cantidad,Total
12/11/24,Market Playa Dormida,4363,Bretaña Piña Colada,SM097191847,3889.52,577.0,5,194.48,4661.0,18,83897.93
12/11/24,Market Playa Dormida,4362,BRETAÑA LIMON & JENGIBRE,SM097191847,3068.57,1439.0,5,153.43,4661.0,18,83897.97
12/11/24,Market Playa Dormida,1615,Agua Cristal 1 Lt. Pet,SM097191847,1500.0,0.0,0,0.0,1500.0,24,36000.0
12/11/24,Market Two Towers,1465,H2o Lima Limon X 600ml,SM07191851,1820.73,0.0,19,345.94,2166.67,6,13000.01
12/11/24,Market Two Towers,1467,Gaseosa Colombiana 1.5 Lt,SM07191851,3155.95,0.0,19,599.63,3755.58,6,22533.48
12/11/24,Market Two Towers,4169,Amarillo Te Hatsu Vidrio X400ml,SM07191851,3151.26,0.0,19,598.74,3750.0,3,11250.0
12/11/24,Market Two Towers,1190,Garrafa Agua 5 Litros Cristal,SM07191851,6700.0,0.0,0,0.0,6700.0,20,134000.0
12/11/24,Market Two Towers,66,Te Hatsu Blanco Mangostino 400 Ml,SM07191851,3151.26,0.0,19,598.74,3750.0,3,11250.0
12/11/24,Market Two Towers,2610,Agua Cristal Botellon 20lts,SM07191851,13350.0,0.0,0,0.0,13350.0,6,80100.0
12/11/24,Market Two Towers,1468,Gaseosa Bretaña 1.5 Litros,SM07191851,2801.12,0.0,0,0.0,2801.12,12,33613.44
12/11/24,Market Two Towers,3606,Gatorade Fresa Kiwi Sin Azucar X500ml,SM07191851,2591.04,0.0,19,492.3,3083.34,15,46250.07
12/11/24,Market Samaria,4172,Agua Cristal 600 Ml Sin Gas,SM07191863,1154.0,0.0,0,0.0,1154.0,1,1154.0
12/11/24,Market Samaria,1190,Garrafa Agua 5 Litros Cristal,SM07191863,5682.94,0.0,0,0.0,5682.94,60,340976.4
12/11/24,Market Samaria,66,Te Hatsu Blanco Mangostino 400 Ml,SM07191863,3151.26,0.0,19,598.74,3750.0,6,22500.0
12/11/24,Market Samaria,2610,Agua Cristal Botellon 20lts,SM07191863,11323.47,0.0,0,0.0,11323.47,8,90587.76
12/11/24,Market Samaria,3606,Gatorade Fresa Kiwi Sin Azucar X500ml,SM07191863,2591.04,0.0,19,492.3,3083.34,15,46250.05
12/11/24,Market Samaria,1615,Agua Cristal 1 Lt. Pet,SM07191863,1500.0,0.0,0,0.0,1500.0,57,85500.0
12/11/24,Market Samaria,4375,Gatorade Azul X500ml,SM07191863,2197.72,0.0,19,417.57,2615.29,24,62766.88
12/11/24,Market Samaria,1613,CAFE TOSTAO GOURMET220 G,SM07191873,10666.67,0.0,5,533.33,11200.0,3,33600.01
12/11/24,Market Samaria,1614,CAFE TOSTATO SUPREMO X 220G,SM07191873,10666.67,0.0,5,533.33,11200.0,3,33600.01
08/11/24,Market Samaria,3800,Heineken Sin Alcohol,SM07187470,1911.76,0.0,19,363.23,2274.99,24,54599.87
08/11/24,Market Samaria,4036,IMPOCONSUMO,SM07187470,14999.04,0.0,0,0.0,14999.04,1,14999.04
08/11/24,Market Samaria,4299,Heineken Lata 310ml,SM07187470,1538.06,0.0,19,292.23,1830.3,72,131781.27
08/11/24,Market Samaria,4299,Heineken Lata 310ml,SM07187470,1845.75,0.0,19,350.69,2196.44,12,26357.31
05/11/24,Market Samaria,1613,CAFE TOSTAO GOURMET220 G,SM07182962,10666.67,0.0,5,533.33,11200.0,3,33600.01
05/11/24,Market Two Towers,1190,Garrafa Agua 5 Litros Cristal,SM07182775,6700.0,0.0,0,0.0,6700.0,8,53600.0
05/11/24,Market Two Towers,2610,Agua Cristal Botellon 20lts,SM07182775,13350.0,0.0,0,0.0,13350.0,2,26700.0
